,news_article_title,news_article_author,is_author_student_journalist,is_article_university_collaboration,urls,is_student_reported
21,Macon Museums Bat Cave Offers Unique Animal Experience,Unknown,False,False,https://www.gpb.org/news/2021/06/21/macon-museums-bat-cave-offers-unique-animal-experience,False
22,Macon Day Camp Introduces Kids to the Ethics of AI,Unknown,False,False,https://www.gpb.org/news/2024/07/01/macon-day-camp-introduces-kids-the-ethics-of-ai,False
23,"As Reno's Latino Population Diversifies, So Does Its Food Scene",Unknown,False,False,https://www.kunr.org/local-stories/2023-08-25/as-renos-latino-population-diversifies-so-does-its-food-scene,False
24,Hip-Hop Reno Battles Grow Despite Continued Setbacks 50 Years After Founding,Unknown,False,False,https://www.kunr.org/local-stories/2023-09-01/hip-hop-reno-battles-grow-despite-continued-setbacks-50-years-after-founding,False
25,The Hills Are Alive with the Sound of Recreation and a Study Shows Animals React to That Noise,Unknown,False,False,https://www.kunr.org/2024-07-05/the-hills-are-alive-with-the-sound-of-recreation-and-a-study-shows-animals-react-to-that-noise,False
26,Western Governors' Plans and Policies to Decarbonize the West in Response to Climate Change,Unknown,False,False,https://www.kunr.org/local-stories/2024-06-13/western-governors-plans-policies-decarbonize-west-climate-change,False
27,Rastreadores de Contactos Bilingües Hacen Frente a Fallas en Mensajes de Salud Pública,Unknown,False,False,https://www.kunr.org/en-espanol/2021-01-22/rastreadores-de-contactos-bilingues-hacen-frente-a-fallas-en-mensajes-de-salud-publica,False
28,Denison Class of 2020 members return for graduation celebration COVID-19 took from them,Kennedy Bayer,True,True,https://www.newarkadvocate.com/story/news/2022/06/08/denison-2020-grads-returning-commencement-covid-19-took-them/7505490001/,True
29,MSNBC's 'Morning Joe' did not air Monday amid Trump assassination attempt coverage,Saman Shafiq,True,False,https://www.newarkadvocate.com/story/entertainment/tv/2024/07/15/msnbc-morning-joe-pulled-monday/74408392007/,True
30,Women’s group founded in Granville will fight for abortion access in ‘a world without Roe v. Wade’,Jennifer Clancey,False,False,https://www.newarkadvocate.com/story/news/local/2022/06/27/womens-group-granville-fight-abortion-access/7723545001/,False
