publication,num_student_articles,num_total_articles,student_to_total_ratio
thetribunechronicle,1.0,2,0.5
providencebusinessnews,1.0,2,0.5
rappahannockrecord,1.0,2,0.5
vashonmauryislandbeachcomber,1.0,2,0.5
thepoint,1.0,3,0.333
theland,1.0,3,0.333
northfortynews,1.0,3,0.333
newsleader,1.0,3,0.333
mindenpressherald,1.0,3,0.333
advertiserdemocrat,1.0,3,0.333
saintpaulpioneerpress,1.0,3,0.333
nevadabusinessjournal,1.0,3,0.333
eugeneweekly,10.0,34,0.294
rochesterbeacon,1.0,4,0.25
miamitoday,1.0,4,0.25
harrodsburgherald,1.0,4,0.25
snoqualmievalleyrecord,1.0,4,0.25
westhawaiitoday,2.0,9,0.222
boulderweekly,6.0,40,0.15
murrysvillestar,1.0,9,0.111
pittsburghtribunereview,1.0,9,0.111
zumedia,0.0,1,0.0
theorion,0.0,1,0.0
universitytimes,0.0,3,0.0
collegiatenewsservice,0.0,2,0.0
oaklandnorth,0.0,1,0.0
metmedia,0.0,4,0.0
eastoncourier,0.0,1,0.0
howarduniversitynewsservice,0.0,2,0.0
thefauman,0.0,1,0.0
orlandosentinel,0.0,1,0.0
caplinnews,0.0,3,0.0
freshtakegeorgia,0.0,2,0.0
maconnewsroom/centerforcollaborativejournalism,0.0,2,0.0
legislativereportingcapstone,0.0,2,0.0
manshipschoolstatehouseburean,0.0,3,0.0
northwesternstateuniversitylouisiana’snsu-tvnewsservice,0.0,1,0.0
thescope,0.0,2,0.0
greatlakesecho,0.0,2,0.0
9thstreetjournal,0.0,1,0.0
queensuniversitynewsservice,0.0,2,0.0
southjerseyclimatenews,0.0,1,0.0
noticieromovil,0.0,2,0.0
hitchcockproject,0.0,1,0.0
columbianewsservice,0.0,1,0.0
bronxjournal,0.0,1,0.0
theportager,0.0,1,0.0
pointparknewsservice,0.0,2,0.0
eastfallslocal,0.0,2,0.0
carolinanewsandreporter,0.0,1,0.0
instituteforpublicservicereportingmemphis,0.0,1,0.0
borderzine,0.0,2,0.0
sanantonioreport,0.0,2,0.0
texasmetronews,0.0,1,0.0
kitsapdailynews,0.0,3,0.0
bainbridgereview,0.0,4,0.0
milwaukeeneighborhoodnewsservice,0.0,3,0.0
wisconsinwatch,0.0,1,0.0
troymessenger,0.0,1,0.0
juneauempire,0.0,3,0.0
peninsulaclarion,0.0,2,0.0
fayettevillefreeweekly,0.0,2,0.0
alamedatimesstar,0.0,1,0.0
campbellreporter,0.0,1,0.0
dailydemocrat,0.0,1,0.0
redbluffdailynews,0.0,2,0.0
fortbraggadvocatenews,0.0,2,0.0
theaspentimes,0.0,1,0.0
aurorasentinel,0.0,1,0.0
broomfieldenterprise,0.0,3,0.0
craigdailypress,0.0,4,0.0
thedenverpost,0.0,1,0.0
greeleytribune,0.0,1,0.0
waterburyrepublicanamerican,0.0,3,0.0
miami’scommunitynewspapers,0.0,1,0.0
palatkadailynews,0.0,1,0.0
claytontribune,0.0,2,0.0
dawsonadvertiser,0.0,2,0.0
newsprogress,0.0,1,0.0
marshalltowntimesrepublican,0.0,1,0.0
rivercitiesreader,0.0,4,0.0
hillsborofreepress,0.0,1,0.0
lewiscountyherald,0.0,1,0.0
thecrowleypostsignal,0.0,2,0.0
thetimesrecord,0.0,7,0.0
bostonherald,0.0,5,0.0
communityadvocate,0.0,3,0.0
thelowellsun,0.0,2,0.0
martha’svineyardtimes,0.0,1,0.0
thevineyardgazette,0.0,1,0.0
grossepointenews,0.0,1,0.0
albertleatribune,0.0,2,0.0
financeandcommerce,0.0,1,0.0
rockcountystarherald,0.0,1,0.0
vicksburgpost,0.0,1,0.0
thebitterrootstar,0.0,3,0.0
lasvegasreviewjournal,0.0,4,0.0
longislandbusinessnews,0.0,3,0.0
newyorkobserver,0.0,1,0.0
rochesterbusinessjournal,0.0,2,0.0
thesuffolktimes,0.0,3,0.0
thewaveoflongisland,0.0,2,0.0
mitchellnewsjournal,0.0,2,0.0
rhinotimes,0.0,1,0.0
salisburypost,0.0,1,0.0
thetaylorsvilletimes,0.0,1,0.0
thedelawaregazette,0.0,1,0.0
theirontontribune,0.0,2,0.0
leaderonline,0.0,3,0.0
urbanadailycitizen,0.0,1,0.0
wilmingtonnewsjournal,0.0,1,0.0
yellowspringsnews,0.0,3,0.0
thejournalrecord,0.0,1,0.0
theponcacitynews,0.0,3,0.0
cascadebusinessnews,0.0,1,0.0
thefultoncountynews,0.0,1,0.0
rocketcourier,0.0,1,0.0
thegaffneyledger,0.0,1,0.0
lockhartpostregister,0.0,3,0.0
themonitorcedarcreek,0.0,2,0.0
transcriptbulletin,0.0,1,0.0
bartonchronicle,0.0,1,0.0
bainbridgeislandreview,0.0,4,0.0
camaswashougalpostrecord,0.0,3,0.0
centralkitsapreporter,0.0,3,0.0
theheraldnet,0.0,1,0.0
theislands’sounder,0.0,2,0.0
thejournalofthesanjuanislands,0.0,2,0.0
mercerislandreporter,0.0,1,0.0
peninsuladailynews,0.0,1,0.0
seattleweekly,0.0,1,0.0
vancouverbusinessjournal,0.0,2,0.0
westvirginiapressassociation,0.0,1,0.0
wvua23,0.0,0,0.0
pepperdine/seavercollegejournalismprogram,0.0,0,0.0
richmondconfidential,0.0,0,0.0
abilitymediagroup,0.0,0,0.0
thedailyiowan,0.0,0,0.0
usatoday,0.0,0,0.0
sdnews,0.0,0,0.0
pavementpieces,0.0,0,0.0
reportingproject,0.0,0,0.0
oxfordobserver,0.0,0,0.0
nextpittsburgh,0.0,0,0.0
qburgh,0.0,0,0.0
planomagazine,0.0,0,0.0
thevirginian-pilot,0.0,0,0.0
gadsdenmessenger,0.0,0,0.0
arizonacapitoltimes,0.0,0,0.0
contracostatimes,0.0,0,0.0
cupertinocourier,0.0,0,0.0
dailynews,0.0,0,0.0
theenterpriserecord,0.0,0,0.0
thedailycamera,0.0,0,0.0
fortmorgantimes,0.0,0,0.0
steamboatpilot,0.0,0,0.0
lakecityreporter,0.0,0,0.0
thestatesboroherald,0.0,0,0.0
thetimescourier,0.0,0,0.0
therepublic,0.0,0,0.0
harlanonline,0.0,0,0.0
theledgerindependent,0.0,0,0.0
thewinchestersun,0.0,0,0.0
sunjournal,0.0,0,0.0
dorchesterreporter,0.0,0,0.0
duxburyclipper,0.0,0,0.0
jacksoncountypilot,0.0,0,0.0
dailyleader,0.0,0,0.0
mississippibusinessjournal,0.0,0,0.0
republicanclipper,0.0,0,0.0
omahareader,0.0,0,0.0
newhampshiregazette,0.0,0,0.0
hobbsnewssun,0.0,0,0.0
thequeensgazette,0.0,0,0.0
mountainxpress,0.0,0,0.0
theeatonregisterherald,0.0,0,0.0
thesidneydailynews,0.0,0,0.0
thetimesgazette,0.0,0,0.0
keizertimes,0.0,0,0.0
columbiastar,0.0,0,0.0
portarthurnews,0.0,0,0.0
sanmarcosdailyrecord,0.0,0,0.0
uvaldeleadernews,0.0,0,0.0
wisecountymessenger,0.0,0,0.0
fallschurchnewspress,0.0,0,0.0
southsidesentinel,0.0,0,0.0
dailyworld,0.0,0,0.0
sequimgazette,0.0,0,0.0
southwhidbeyrecord,0.0,0,0.0
wisconsinnewspaperassociation,0.0,0,0.0
thedailyreporter,0.0,0,0.0
